"Date" "AAPL" "AXP" "BA" "CAT" "CSCO"
"2009-07-21" 15.250738 24.572937 32.838673 32.415283 17.377569
"2009-07-28" 15.853719 24.806715 34.043686 34.124531 17.958416
"2009-08-04" 15.690828 28.00172 35.583004 35.65984 17.218431
"2009-08-11" 15.202152 26.313297 34.660984 33.239647 16.494362
"2009-08-18" 16.104246 28.287453 36.99213 35.969913 17.55262
"2009-08-25" 16.023275 29.283186 38.985767 34.26823 17.186609
"2009-09-01" 16.223316 28.434643 38.577625 34.873283 17.377569
"2009-09-08" 16.548147 29.369761 40.006134 36.885036 18.133457
"2009-09-15" 17.529297 29.231224 41.489578 39.675819 18.801826
"2009-09-22" 17.732195 29.794029 41.654419 39.464046 18.785915
"2009-09-29" 17.719816 28.76368 41.034348 38.382534 18.252815
"2009-10-06" 18.176094 30.535877 40.547707 40.122044 18.921188
"2009-10-13" 18.085602 31.110373 41.952679 43.7523 19.295151
"2009-10-20" 19.287754 30.361776 37.902618 43.162373 18.857529
"2009-10-27" 18.033211 31.058147 37.886913 42.271423 18.30055
"2009-11-03" 19.190588 33.991608 40.304398 45.707073 19.088274
"2009-11-10" 19.683077 36.072006 41.554161 46.011791 18.99279
"2009-11-17" 19.611629 36.237411 41.672935 44.290161 19.016661
"2009-11-24" 19.042934 36.411495 41.498734 44.480614 18.618826
"2009-12-01" 17.998917 34.304977 44.198822 43.84832 19.263325
"2009-12-08" 18.763832 35.932743 44.380936 44.412052 18.96892
"2009-12-15" 18.88291 35.706409 42.995262 43.878788 18.809786
"2009-12-22" 20.157457 35.732529 43.660389 44.572018 19.159882
"2009-12-29" 20.386072 35.619373 44.483871 44.602489 19.645248
"2010-01-05" 20.014568 36.098137 48.197441 48.853256 19.56568
"2010-01-12" 19.61639 37.059727 48.157871 45.798489 19.414499
"2010-01-19" 19.343958 33.038151 45.750763 42.291389 18.292589
"2010-01-26" 18.549507 33.405338 48.854656 40.604004 18.085722
"2010-02-02" 18.491404 32.163902 45.83786 38.947346 18.698393
"2010-02-09" 19.087709 33.588932 47.553898 43.104389 18.905266
"2010-02-16" 19.091524 34.034817 50.997871 44.507965 19.33493
"2010-02-23" 19.907879 33.335396 51.021767 44.369907 19.573633
"2010-03-02" 20.869028 34.716721 53.604744 45.182911 20.791018
"2010-03-09" 21.322453 35.582241 55.326759 45.612431 20.751238
"2010-03-16" 21.409138 35.914463 57.327759 45.980572 20.910376
"2010-03-23" 22.136908 36.264164 59.081638 48.688015 21.093376
"2010-03-30" 22.717979 37.304535 57.431385 49.846161 20.822845
"2010-04-06" 23.07996 39.109104 57.33572 51.18071 21.109291
"2010-04-13" 23.535286 40.180344 56.5704 51.380127 21.538956
"2010-04-20" 25.671917 41.392067 59.264977 54.954254 21.9368
"2010-04-27" 25.371853 41.444763 59.304829 53.977348 21.912924
"2010-05-04" 24.194466 37.835903 56.602287 51.469105 20.791018
"2010-05-11" 24.216379 36.193916 55.872345 49.223255 19.788467
"2010-05-18" 23.505753 34.279732 50.636318 45.70401 18.594954
"2010-05-25" 24.469772 35.008518 51.462212 46.892521 18.427856
"2010-06-01" 23.903938 33.111904 48.198715 43.087719 18.109591
