"Date" "S&P 500" "FTSE 100" "CAC 40" "DAX 30"
1990-07-05 393.65 731.82 2191.25 1925.13
1990-07-06 388.82 724.25 2175.07 1914.18
1990-07-07 391.82 727.04 2177.17 1932.8
1990-07-10 393.05 727.23 2165.29 1923.86
1990-07-11 389.75 724.13 2138.72 1909.63
1990-07-12 394.93 734.37 2146.96 1917.89
1990-07-13 399.53 737.35 2151.96 1916.22
1990-07-14 401.58 741.13 2177.2 1931.33
1990-07-17 403.46 748.95 2198.7 1931.86
1990-07-18 401.9 751.51 2203.71 1929
1990-07-19 398.31 747.56 2214.74 1966.04
1990-07-20 399.52 743.02 2207.87 1957.24
1990-07-21 395.46 746.88 2215.82 1947.43
1990-07-24 388.61 737.35 2171.57 1938.04
1990-07-25 389.14 737.73 2177.65 1921.16
1990-07-26 390.59 738.73 2180.89 1920.25
1990-07-27 389.33 732.3 2165.38 1932.89
1990-07-28 386.69 728.06 2145.1 1919.81
1990-07-31 389.1 723.71 2133.72 1911.69
1990-08-01 389.89 726.71 2145.42 1919.12
1990-08-02 389.22 730.78 2139.91 1892.89
1990-08-03 384.86 720.06 2094.47 1869.38
1990-08-04 377.67 713.77 2040.97 1840.94
1990-08-07 366.5 695.43 1936.54 1740.93
1990-08-08 367.11 700.29 1978.08 1770.3
1990-08-09 370.98 700.84 1918.31 1723.63
1990-08-10 372.81 703.15 1943.17 1755.63
1990-08-11 368.07 699.7 1943.13 1749.34
1990-08-14 371.83 695.28 1878.91 1706.05
1990-08-15 372.49 699.7 1869.11 1715.05
1990-08-16 373.25 701.31 1869.11 1742.23
1990-08-17 364.9 695.96 1881.54 1727.45
1990-08-18 359.9 681.8 1817.76 1665.88
1990-08-21 360.72 676.83 1759.81 1635.69
1990-08-22 353.46 661.51 1688.41 1549.96
1990-08-23 347.64 660.68 1731.81 1575.1
1990-08-24 337.22 651.33 1695.87 1520.34
1990-08-25 342.11 654.87 1765.82 1559.04
1990-08-28 353.15 654.87 1855.67 1654.8
1990-08-29 353.17 667.24 1834.77 1617.89
1990-08-30 356.33 667.21 1854.52 1637.66
1990-08-31 350.31 675.93 1881.34 1638.95
1990-09-01 354.65 678.73 1845.25 1629.51
1990-09-04 354.65 679.98 1794.85 1629.22
1990-09-05 355.32 674.2 1769.65 1590.07
1990-09-06 356.75 675.37 1788.64 1564.27
1990-09-07 352.45 665.58 1757.18 1557.12
1990-09-08 355.69 666.31 1767.72 1562.92
1990-09-11 353.91 674.81 1814.23 1600.45
1990-09-12 353.32 673.97 1805.69 1577.42
1990-09-13 354.97 673.23 1799.31 1598.34
1990-09-14 350.69 668.46 1797.32 1582.95
1990-09-15 348.7 657.95 1763.1 1554.07
1990-09-18 349.76 658.27 1751.18 1541.15
1990-09-19 350.87 648.8 1724.89 1507.27
1990-09-20 348.67 649.31 1714.36 1487.54
1990-09-21 343.1 633.96 1681.95 1457.51
1990-09-22 342.93 636.63 1685.15 1446.57
1990-09-25 335.67 628.58 1640.68 1416.05
1990-09-26 339.75 631.36 1621.67 1353.4
1990-09-27 336.23 631.72 1636.72 1381.99
1990-09-28 331.78 634.49 1663.77 1354.08
1990-09-29 337.39 628.46 1628.63 1334.89
1990-10-02 347.3 641.4 1682.18 1420.73
1990-10-03 347.6 650.07 1717.26 1444.89
1990-10-04 343.62 659.27 1711.3 1444.89
1990-10-05 345.05 653.84 1695.2 1422.35
1990-10-06 343.75 676.65 1694.32 1391.76
1990-10-09 345.93 695.78 1731.69 1465.53
1990-10-10 336.71 674.53 1693.81 1433.41
1990-10-11 331.52 670.52 1681.43 1407.11
1990-10-12 326.08 664.39 1683.22 1428.3
1990-10-13 331.12 663.91 1720.28 1459.7
1990-10-16 334.73 664.41 1745.61 1478.89
1990-10-17 329.98 658.52 1748.89 1460.72
1990-10-18 329.82 653.62 1764.27 1440.79
1990-10-19 337.53 658.3 1798.84 1470.07
1990-10-20 344.98 660.36 1795.6 1482.09
1990-10-23 347.54 664.98 1790.42 1474.51
1990-10-24 344.89 672.81 1829.96 1514.34
1990-10-25 345.17 667.53 1820.22 1493.82
